###############################################################################
# Information about Dragon 64 ROM - 32K mode
#
# Collected from:
#     http://archive.worldofdragon.org/phpBB3/viewtopic.php?f=5&t=4370&start=10#p11378
# AUTHOR: Stewart Orchard alias sorchard
#
# copyleft: 2014 by the 6809 team, see AUTHORS for more details.
# license: GNU GPL v3 or above, see LICENSE for more details.
#
###############################################################################

$8000-$8012 ; * standard JMP vectors
$b822       ; skip rest of file
$b825       ; ?IO ERROR

$b828-$b84a ; * OPEN
$b828       ; PATCH - device open
$b82b       ; get expression
$b82e       ; get 1st character of string into B
$b833       ; read #-n & set up DEVN
$b835       ; check comma
$b838       ; get filename
$b83a       ; DEVN
$b83c       ; DEVN
$b842       ; open for input
$b846       ; write filename block if A = -1
$b848       ; ?FM ERROR

$b84d       ; * (B84B C62A       LDB   #$2A)    ;?IO ERROR

$b850       ; * (B84E C626       LDB   #$26)    ;?AO ERROR

$b853-$b878 ; * (B851 C628       LDB   #$28)    ;?DN ERROR
$b856       ; input stream must be >= -1
$b857       ; ?FM ERROR
$b859       ; return if stream <> -1
$b85b       ; find file & set up buffer
$b85d       ; must be ASCII
$b860       ; and gapped
$b863       ; ?FM ERROR
$b865       ; cassette IO status
$b867       ; read leader & block from tape
$b86a       ; ?IO ERROR
$b86c       ; block must be data or EOF
$b86e       ; ?IO ERROR
$b870       ; return if EOF block
$b872       ; block length
$b874       ; get another block if zero length
$b876       ; no. of characters in buffer
$b878       ; finish setting up buffer

$b87a-$b889 ; * find file & set up buffer
$b87a       ; cassette IO status
$b87c       ; ?AO ERROR
$b87e       ; find file
$b880       ; ?IO ERROR
$b882       ; no. of characters in buffer
$b884       ; IO buffer
$b887       ; buffer pointer

$b88a-$b88d ; * if A = -1 then write filename block for gapped ASCII
$b88b       ; RTS
$b88d       ; A = 1

$b88e-$b8b1 ; * write filename block for gapped ASCII (file type in A)
$b891       ; cassette IO status
$b893       ; ?AO ERROR
$b895       ; IO buffer
$b89a       ; file type
$b89c       ; ASCII flag & gap flag
$b89e       ; filename
$b8a1       ; copy 8 bytes from X to U
$b8a4       ; block type
$b8a8       ; block length
$b8aa       ; write leader & block to tape
$b8ad       ; 2 = output
$b8af       ; cassette IO status
$b8b1       ; reset IO buffer

$b8b3-$b902 ; * find file
$b8b3       ; IO buffer
$b8b8       ; current line number
$b8bb       ; not in command mode
$b8bd       ; clear screen
$b8c0       ; text cursor address
$b8c6       ; text cursor address
$b8c8       ; read leader & block from tape
$b8ca       ; block type
$b8cc       ; keep going until filename block loaded
$b8ce       ; IO buffer
$b8d1       ; filename to find
$b8da       ; current line number
$b8df       ; not in command mode
$b8e1       ; DEVN
$b8e3       ; output character to DEVN
$b8f1       ; matched filename
$b8f5       ; no filename specified
$b8f7       ; skip rest of file
$b8f9       ; return with error
$b8fb       ; try next file
$b8ff       ; display 'F'

$b903-$b915 ; * skip rest of file
$b903       ; gap flag
$b906       ; gapped file
$b908       ; read leader from tape
$b90b       ; read block from tape
$b90d       ; test file status
$b90f       ; do next block
$b911       ; read leader & block from tape
$b913       ; test file status
$b915       ; do next block

$b917-$b923 ; * test file status
$b919       ; block type
$b91c       ; normal block - RTS
$b91f       ; error status
$b923       ; cassette relay off & get status in B

$b925-$b932 ; * flash loading cursor
$b92a       ; current line number
$b92d       ; not in command mode

$b933-$b93d ; * read leader & block from tape
$b933       ; read leader from tape
$b936       ; read block from tape
$b938       ; cassette relay off
$b93b       ; error status

$b93e-$b97b ; * read block from tape
$b93e       ; mask interrupts
$b940       ; flash loading cursor
$b942       ; IO buffer
$b945       ; bit in
$b94b       ; wait for sync byte
$b94d       ; byte in
$b950       ; block type
$b952       ; byte in
$b955       ; block length
$b957       ; block type
$b959       ; checksum
$b95b       ; block length
$b95d       ; use error status as counter
$b95f       ; no data
$b961       ; byte in
$b966       ; check that we are loading into RAM
$b96c       ; checksum
$b970       ; get next data byte
$b972       ; byte in
$b975       ; checksum
$b977       ; status = OK
$b979       ; status = CRC error

$b97e-$b980 ; * (B97C 8602       LDA   #$02)    ;status = no RAM
$b97e       ; status

$b981-$b98e ; * MOTOR
$b983       ; get next character from BASIC source
$b985       ; token OFF
$b987       ; cassette relay off
$b989       ; token ON
$b98b       ; ?SN ERROR if <>0
$b98e       ; cassette relay on

$b991-$b996 ; * write leader & block to tape
$b991       ; write leader
$b994       ; write block to tape
$b996       ; cassette relay off

$b999-$b9cf ; * write block to tape
$b999       ; mask interrupts
$b99b       ; block length
$b99d       ; use error status as counter
$b99f       ; block length
$b9a1       ; no data
$b9a3       ; IO buffer address
$b9a8       ; calculate checksum
$b9aa       ; block type
$b9ac       ; checksum
$b9ae       ; IO buffer address
$b9b0       ; write single leader byte
$b9b2       ; sync byte
$b9b4       ; byte out
$b9b6       ; block type
$b9b8       ; byte out
$b9ba       ; block length
$b9bc       ; byte out
$b9bf       ; no data
$b9c3       ; byte out
$b9c7       ; keep going until all data sent
$b9c9       ; checksum
$b9cb       ; byte out
$b9cd       ; leader byte
$b9cf       ; byte out

$b9d2-$b9ed ; * SET
$b9d2       ; read coords & calc pixel
$b9d6       ; skip comma & get number in B
$b9dd       ; ?FC ERROR
$b9e0       ; black
$b9e9       ; non-graphics block present

$b9ef-$ba02 ; * (B9EE 5F         CLRB)
$b9f1       ; skip close bracket
$b9f7       ; non-graphics block present
$b9fa       ; lo-res pixel mask

$ba03-$ba12 ; * RESET
$ba03       ; read coords & calc pixel
$ba05       ; skip close bracket
$ba0c       ; lo-res pixel mask

$ba13-$ba43 ; * read coords & calc pixel for SET / RESET / POINT
$ba13       ; skip open bracket
$ba16       ; get number in B
$ba1b       ; ?FC ERROR
$ba1f       ; skip comma & get number in B
$ba24       ; ?FC ERROR
$ba41       ; lo-res pixel mask

$ba44-$ba5c ; * POINT
$ba44       ; read coords
$ba4a       ; non-graphics block
$ba4c       ; lo-res pixel mask
$ba59       ; return number to BASIC
$ba5c       ; skip close bracket

$ba5f-$ba76 ; * CLS
$ba5f       ; PATCH - CLS GET PUT
$ba62       ; no parameter - clear to spaces
$ba64       ; get number in B
$ba69       ; CLS 9+
$ba6c       ; CLS 0

$ba79-$ba85 ; * clear text screen
$ba79-$ba85 ; * (BA77 C660       LDB   #$60)
$ba7c       ; text cursor address

$ba86-$ba8b ; * clear text screen & print copyright message for CLS9+
$ba86       ; clear screen
$ba8b       ; print string to DEVN

$ba8e-$ba97 ; * get parameter for SOUND
$ba8e       ; check comma
$ba91       ; get number in B
$ba95       ; RTS
$ba97       ; ?FC ERROR

$ba9a-$bac1 ; * SOUND
$ba9a       ; get pitch
$ba9c       ; pitch
$ba9e       ; skip comma & get duration
$baa3       ; duration x 4
$baaa       ; enable vsync irq
$baaf       ; B=0 to select d/a sound
$bab1       ; enable audio
$bab3       ;  centre d/a
$bab7       ;  max d/a
$bab9       ;  centre d/a
$babd       ;  min d/a
$babf       ; loop until irq routine
$bac1       ; decrements duration to zero

$bac3-$bac4 ; * disable audio

$bac7-$bad3 ; * enable audio
$bac7-$bad3 ; * (BAC5 8608       LDA #$08)

$bad4       ; * reset D/A and delay

$bad6-$bade ; * store A in D/A and delay
$bad9       ; SOUND pitch value

$badf-$baef ; * AUDIO
$bae1       ; get next character from BASIC source
$bae3       ; token OFF
$bae7       ; token ON
$bae9       ; ?SN ERROR if <>0
$baed       ; B=1 for cassette sound
$baef       ; enable audio

$baf1-$bb01 ; * select sound source

$bb02-$bb0c ; * SOUND duration counter
$bb02-$bb0c ; * (called by IRQ service routine)
$bb02       ; SOUND counter
$bb09       ; SOUND counter

$bb0d-$bb23 ; * JOYSTK
$bb0d       ; get number in B from FPA1
$bb12       ; ?FC ERROR
$bb19       ; update joysticks if B = 0
$bb1c       ; joystick value table
$bb1f       ; get number again
$bb23       ; assign B to FPA1

$bb26-$bb34 ; * continued from fetch character routine at $9f
$bb26-$bb34 ; * skips spaces and returns with carry set if
$bb26-$bb34 ; * character is a digit
$bb28       ; higher than '9'
$bb2c       ; not a space
$bb2e       ; get next character from BASIC source
$bb32       ; set carry if >= '0'

$bb35       ; * unused

$bb3c-$bb7e ; * reset routine continued
$bb3c       ; initialise PIA0:
$bb3f       ;        $FF00 PDR rrrrrrrr
$bb42       ;        $FF02 PDR wwwwwwww
$bb44       ;        CA2 bit3 output mode
$bb46       ;        CB2 bit3 output mode
$bb48       ;        IRQA disabled (hsync)
$bb49       ;        IRQB disabled (vsync)
$bb4f       ; initialise PIA1:
$bb52       ;        $FF20 PDR wwwwwwwr
$bb54       ;        $FF22 PDR wwwwwrrr
$bb56       ;        CA2 bit3 output mode
$bb57       ;        CB2 bit3 output mode
$bb59       ;        IRQA disabled (ack)
$bb5b       ;        IRQB disabled (cart)
$bb65       ; initialise serial hardware:
$bb68       ;        no parity, no IRQ, DTR low
$bb6b       ;        1200 baud, 8 data, 2 stop
$bb6e       ; initialise SAM:
$bb71       ;        512 byte display
$bb73       ;        display base 1024
$bb75       ;        mem page 0
$bb76       ;        slow MPU rate
$bb78       ;        64K dynamic memory
$bb7b       ;        MAP 0

$bb80       ; * boot 64K BASIC

$bb83-$bb86 ; * reset routine continued
$bb86       ; JMP to $B39B

$bb88-$bb9e ; * part of start up reset routine
$bb90       ; copy B bytes from X to U
$bb92       ; set up serial printer parameters
$bb9c       ; copy B bytes from X to U

$bb9f       ; * copied to $8f - $9b on start up
$bb9f       ; * (cursor counter, leader count, COS timing, motor on delay,
$bb9f       ; * key scan delay, printer parameters)

$bbac       ; * copied to $148 - $150 on start up
$bbac       ; * (auto LF flag, caps flag, printer EOL sequence)

$bbb5-$bbcc ; * blink cursor
$bbb5       ; cursor flash counter
$bbbb       ; cursor flash counter
$bbbd       ; text cursor address

$bbcd-$bbd9 ; * read key matrix & mask SHIFT key
$bbd0       ; mask analogue comp.

$bbda-$bbe4 ; * test for SHIFT key

$bbe5-$bc70 ; * scan keyboard & return ASCII
$bbee       ; key rollover table
$bbf1       ; test all keys
$bbf7       ; mask analogue comp.
$bbfb       ; nothing changed - return NUL
$bbff       ; disable all keys
$bc02       ; read matrix & mask shift
$bc06       ; joystick button pressed - return NUL
$bc08       ;  $0151 = keyboard state
$bc0a       ; row counter
$bc11       ; read matrix & mask shift
$bc17       ; sets bits in B for new keys pressed
$bc1b       ; save new scan code
$bc1e       ; new keys pressed
$bc22       ; set carry
$bc23       ; next row
$bc26       ; more rows to do
$bc28       ; no new keys pressed - return NUL
$bc2c       ; debounce delay
$bc30       ; read matrix & mask shift
$bc36       ; key state changed during delay - return NUL
$bc38       ; row number
$bc3c       ; convert scan code into a number
$bc3e       ; between 0 and 54
$bc3f       ; (nb. shift masked out)
$bc42       ; zero key
$bc46       ;  keys 1 to 9 : ;
$bc4a       ;  keys , - . / @
$bc4e       ;  arrows SPC RET CLR BRK
$bc50       ; ASCII A - Z
$bc52       ; test for SHIFT key
$bc54       ; SHIFT pressed
$bc56       ; CAPS flag
$bc59       ; upper case
$bc5b       ; convert to lower case
$bc5f       ; ASCII 1 to 9 : ;
$bc61       ; test for SHIFT key
$bc64       ; SHIFT not pressed
$bc6a       ; not shift + 0
$bc6c       ; CAPS flag

$bc72-$bc82 ; * XLAT key scan code to ASCII
$bc77       ; test for SHIFT key

$bc84-$bc9c ; * keyboard XLAT table
$bc84-$bc9c ; * (two bytes per entry - unshifted & shifted)
$bc84       ;  0      ,
$bc88       ;  -      .
$bc8c       ;  /      @
$bc90       ;  CU     CD
$bc94       ;  CL     CR
$bc98       ;  SPC    RET
$bc9c       ;  CLR    BRK

$bca0-$bcaa ; * clear VDU line + CR/LF

$bcab-$bcf3 ; * write character to VDU
$bcad       ; text cursor address
$bcb3       ; backspace
$bcbe       ; return
$bcc2       ; clear VDU line + CR/LF
$bcc8       ;  chr < $20
$bccb       ;  chr >= 128
$bccf       ;  $20 <= chr < $40
$bcd3       ;  $40 <= chr < $60
$bcdb       ; text cursor address
$bce2       ; scroll
$bcef       ; text cursor address
$bcf1       ; clear VDU line + CR/LF

$bcf5-$bcfa ; * write character direct to printer
$bcf7       ; printer type flag
$bcfa       ; continued...

$bcfd-$bd08 ; * write character to parallel port
$bd05       ; strobe

$bd0a-$bd19 ; * send EOL characters to printer
$bd14       ; send character direct to printer
$bd16       ; continued...

$bd1a-$bd3f ; * write character to printer
$bd22       ; don't advance head pos for CTRL chrs
$bd24       ; printer head pos
$bd26       ; send character to printer
$bd28       ; printer head pos
$bd2a       ; printer line width
$bd2e       ; printer auto LF flag
$bd33       ; printer head pos
$bd39       ; send character to printer
$bd3b       ; send EOL sequence
$bd3d       ; printer head pos

$bd41-$bd51 ; * select joystick source B (0-3)

$bd52-$bd88 ; * update joystick values in locations $15a - $15d
$bd52-$bd88 ; * (reads each channel up to 10 times until stable result is obtained)
$bd54       ; end of joystick table + 1
$bd5d       ; select joystick source B
$bd67       ; test analogue comp.
$bd6a       ; approximation low
$bd6c       ; try smaller value
$bd70       ; try larger value
$bd75       ; do finer approximation
$bd78       ; convert range to 0-63
$bd7b       ; reading stable
$bd7f       ; do up to 10 readings until stable
$bd86       ; do next joystick channel

$bd8a-$bd90 ; * read state of cassette input comparator into carry
$bd8a-$bd90 ; * (+update wavelength timer)
$bd8a       ; wavelength timer

$bd91-$bd97 ; * wave timer
$bd91       ; wavelength timer
$bd93       ; phase flag
$bd95       ; time antiphase wave
$bd97       ; time +ve going wave

$bd99-$bd9d ; * time -ve going wave
$bd99       ; read cassette input & update timer

$bd9e       ; * alternative wave timer (antiphase)
$bd9e       ; time -ve going wave

$bda0-$bda4 ; * time +ve going wave
$bda0       ; read cassette input & update timer

$bda5-$bdac ; * read bit from tape into carry
$bda7       ; wavelength timer
$bdaa       ; wavelength threshold

$bdad-$bdb8 ; * read byte from tape into A
$bdb1       ; read bit from tape into carry
$bdb3       ; LSB first
$bdb6       ; do next bit

$bdb9-$bdbd ; * called by read leader routine - test +ve going wave
$bdb9       ; wavelength timer
$bdbb       ; time +ve going wave

$bdbf-$bdce ; * called by read leader routine - test -ve going wave
$bdbf       ; wavelength timer
$bdc1       ; time -ve going wave
$bdc3       ; wavelength timer
$bdc5       ; rejection threshold
$bdc7       ; bad wave - clear counter
$bdc9       ; discrimination threshold
$bdcc       ; phase lock counter

$bdcf-$bdd9 ; * turn cassette relay on

$bddc-$bde6 ; * turn cassette relay off

$bde7-$be11 ; * read leader from tape
$bde7-$be11 ; * (+determine phase of signal)
$bde7       ; mask interrupts
$bde9       ; cassette relay on
$bdeb       ; phase lock counter
$bded       ; synchronise to in-phase wave (+ve then -ve)
$bdef       ; test +ve wave
$bdf1       ; 0 or bad
$bdf3       ; test -ve wave
$bdf5       ; 1 or bad
$bdf7       ; add 1 for each antiphase pair of cycles
$bdff       ; test -ve wave
$be01       ; 0 or bad
$be03       ; test +ve wave
$be05       ; 1 or bad
$be07       ; subtract 1 for each in-phase pair of cycles
$be0b       ; SUBA #-$60
$be0d       ; need $60 locks in a row ($18 leader bytes)
$be0f       ; phase flag

$be12-$be42 ; * write byte out to tape (A)
$be14       ; send LSB first
$be16       ; wave table
$be1a       ; inter-wave level
$be21       ; high frequency for 1
$be23       ; low frequency for 0
$be29       ; done 0
$be36       ; done 1
$be3d       ; inter-wave level
$be40       ; do next bit

$be44-$be64 ; * wave table for cassette output

$be68-$be79 ; * write leader to tape
$be6a       ; mask interrupts
$be6c       ; cassette relay on
$be71       ; cassette leader byte count
$be73       ; write byte out to tape
$be77       ; do next byte

$be7b-$be96 ; * read character from serial port into A
$be7d       ; mask interrupts
$be86       ; set DTR
$be8b       ; wait until RX full
$be90       ; clear DTR

$be98-$bea4 ; * write character to serial port (A)
$be9c       ; wait until TX ready

$bea6-$bebd ; * serial baud rate select
$bea6-$bebd ; * (parameter in B is as per DLOAD)
$bea8       ; B must be 0 - 6
$beaa       ; serial baud setup table

$bebe       ; * serial port baud setup table

$bec4       ; * odd byte?

$bec5-$bedd ; * printer direct out (continued from $BCF5)
$becb       ; printer busy
$bed6       ; wait until keys released
$bedd       ; send character to serial port

$bee0-$befd ; * scan keyboard continued
$bee4       ; key pressed
$bee6       ; stores a zero
$beea       ; ASCII NUL
$beec       ; repeat delay
$beef       ; current key
$bef2       ; same key pressed - use normal repeat rate
$bef5       ; set up initial repeat delay
$bef7       ; repeat counter
$befa       ; current key

$beff-$bf0b ; * D64 extension to start up reset routine
$beff       ; printer type flag
$bf02       ; serial printer EOL delay

$bf0c-$bf1f ; * send printer EOL characters (continued)
$bf12       ; EOL delay
$bf18       ; 10ms delay

$bf20-$bf46 ; * D64 alternative IRQ service routine
$bf20-$bf46 ; * (gives autorepeat keys)
$bf23       ; not serial interrupt
$bf27       ; RX not full
$bf2e       ; set DTR low
$bf32       ; force complete keyboard read
$bf35       ; key repeat counter
$bf38       ; not yet...
$bf3a       ; clear key rollover table
$bf46       ; resume with normal IRQ routine

$bf49-$bf57 ; * boot 64K BASIC continued
$bf49-$bf57 ; * (doubles as 64K BASIC soft reset)
$bf4a       ; mask interrupts
$bf4f       ; IO buffer
$bf54       ; copy B bytes from X to U
$bf57       ; IO buffer

$bf5a-$bfe6 ; * copied to cassette buffer & executed
$bf5a       ; 64K BASIC flag
$bf71       ; 64K BASIC checksum
$bfa5       ; ?FC ERROR
$bfa8       ; 64K BASIC checksum
$bfbc       ; 64K BASIC checksum
$bfd0       ; top of RAM
$bfd2       ; top of BASIC RAM
$bfd4       ; top of free string space
$bfda       ; stack root / string storage start
$bfe1       ; soft reset vector

$bff2-$bffe ; * unused
$bff2-$bffe ; * $BFE9 to
$bff2-$bffe ; * $BFF1
$bff2-$bffe ; * interrupt vectors
$bff2       ; SWI3
$bff4       ; SWI2
$bff6       ; FIRQ
$bff8       ; IRQ
$bffa       ; SWI
$bffc       ; NMI
$bffe       ; RESET
